time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
3163,0.0071396315,0.99527687,-0.09681475,-0.99063826,0.020238768,0.13500406,0.1363258,0.09494452,0.9861038,0.15559308,-0.022115882,-1.0595882,-0.13541757,-0.09786543,-1.5503691,1504.6243,976.604,1504.6243,723.4244
3199,0.006279462,0.9948822,-0.100845836,-0.9902401,0.0202279,0.13789563,0.13922983,0.098995715,0.98529935,0.15705809,-0.019868705,-1.07743,-0.13833643,-0.10199529,-1.5503719,1504.5121,976.5918,1504.5121,723.49023
3238,0.006279462,0.9948822,-0.100845836,-0.9902401,0.0202279,0.13789563,0.13922983,0.098995715,0.98529935,0.15705809,-0.019868705,-1.07743,-0.13833643,-0.10199529,-1.5503719,1504.5076,976.7638,1504.5076,723.50507
3274,0.00934331,0.9942439,-0.10673196,-0.98943996,0.024631388,0.14283407,0.14464086,0.10427036,0.98397493,0.16054909,-0.00844783,-1.1649406,-0.14332426,-0.10804777,-1.5459071,1504.5839,976.8301,1504.5839,723.4943
3310,0.012420094,0.99381316,-0.11036888,-0.9884579,0.028869275,0.14871877,0.15098494,0.10724791,0.98270106,0.16572624,-0.004618784,-1.1990671,-0.14927252,-0.111843064,-1.5415982,1504.5165,976.90845,1504.5165,723.5984
3346,0.016086062,0.9921642,-0.12390101,-0.98719716,0.035426777,0.15551981,0.15869062,0.11981306,0.98003167,0.17119253,-0.0016371405,-1.2659892,-0.15615365,-0.12575833,-1.5349255,1504.4851,977.0639,1504.4851,723.70636
3382,0.015515884,0.9919534,-0.12564975,-0.98793805,0.034572504,0.15094002,0.15406947,0.12179221,0.98052496,0.17453296,-0.00144153,-1.2817189,-0.15151912,-0.12745078,-1.535816,1504.4536,977.04,1504.4536,723.77014
3418,0.013152796,0.9915599,-0.12897971,-0.98953176,0.031446826,0.1408462,0.14371346,0.125777,0.9815937,0.17460641,-0.003551893,-1.3172879,-0.14131607,-0.13064979,-1.5390276,1504.4403,977.0895,1504.4403,723.9011
3455,0.009959264,0.9906574,-0.13601048,-0.99048126,0.028447544,0.13467567,0.1372866,0.13337456,0.9815108,0.18131603,-0.0065366235,-1.3496995,-0.13508613,-0.13769569,-1.5420833,1504.548,976.9792,1504.548,723.95624
3491,0.0066457125,0.99070156,-0.13588974,-0.99163276,0.024048628,0.12683006,0.12891872,0.13390987,0.9825721,0.18915577,-0.011155217,-1.3825487,-0.12717257,-0.13742825,-1.5465496,1504.5569,976.92426,1504.5569,724.0296
3527,0.003357725,0.9914517,-0.13043176,-0.9930813,0.018616352,0.115943536,0.11738057,0.12914005,0.98465455,0.19194497,-0.016574442,-1.4194218,-0.11620489,-0.13169776,-1.5520525,1504.53,976.88025,1504.53,724.1136
3563,0.0025966351,0.9914469,-0.13048564,-0.99381375,0.017046252,0.10974296,0.111028604,0.12939349,0.9853578,0.19562264,-0.019584222,-1.4367565,-0.109964445,-0.1316586,-1.5536456,1504.4851,976.782,1504.4851,724.13116
3598,0.0041705444,0.991748,-0.12813519,-0.9946146,0.017383551,0.102173455,0.10355776,0.12701903,0.9864795,0.20850536,-0.028407369,-1.4902588,-0.10235207,-0.1291682,-1.5533204,1504.6781,976.6194,1504.6781,724.19775
3658,0.0042179744,0.9926129,-0.121250175,-0.99450713,0.016844785,0.10330328,0.10458262,0.12014848,0.98723185,0.21820706,-0.033387747,-1.5269617,-0.10348791,-0.12220632,-1.5538601,1504.6198,976.56433,1504.6198,724.1653
3694,0.0008320547,0.99437904,-0.105875574,-0.99568814,0.010644762,0.092150256,0.092759304,0.10534239,0.9901003,0.23321381,-0.036880944,-1.6094426,-0.09228118,-0.10652937,-1.5601059,1504.5344,976.4007,1504.5344,724.23395
3730,-0.005460147,0.99563706,-0.093150295,-0.9964616,0.0023956026,0.084014535,0.083871126,0.093279436,0.99210113,0.23948717,-0.03380409,-1.657512,-0.08411369,-0.09361748,-1.5683923,1504.548,976.33105,1504.548,724.22284
3765,0.004093716,0.99529505,-0.09680486,-0.99701583,0.011524969,0.07633133,0.07708787,0.0962035,0.9923721,0.2581412,-0.022958135,-1.728177,-0.07640565,-0.09724129,-1.5592374,1504.3505,976.50256,1504.3505,724.21783
3805,0.008832008,0.9953267,-0.096160606,-0.9969261,0.016250769,0.076642185,0.0778467,0.09518815,0.9924107,0.26242632,-0.019700881,-1.7452034,-0.076717414,-0.09659443,-1.5544969,1504.4895,976.451,1504.4895,724.2444
