time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
3563,0.065454,0.99297214,0.09859993,-0.9753604,0.04280252,0.21642545,0.2106841,-0.11033639,0.9713073,0.08768254,-0.10696149,-0.5345449,-0.21815164,0.101166055,-1.5269407,1505.3064,977.04663,1505.3064,723.4496
3597,0.08102351,0.9932279,0.083267145,-0.9705102,0.059588205,0.23357914,0.22703557,-0.099737026,0.96876585,0.09332141,-0.104340866,-0.5616116,-0.23575704,0.08574105,-1.5094745,1504.9026,977.2744,1504.9026,723.3769
3631,0.07696354,0.9941275,0.07607122,-0.97186744,0.05776797,0.22833374,0.22259837,-0.09150453,0.97060627,0.09785789,-0.10293943,-0.58522487,-0.23036587,0.07821506,-1.511426,1505.5353,977.2344,1505.5353,723.3315
3664,0.057869576,0.9938321,0.09459782,-0.9738061,0.03532308,0.22461975,0.21989281,-0.10511859,0.9698438,0.10514909,-0.102887794,-0.61055523,-0.2265528,0.09723166,-1.534539,1505.8091,977.1751,1505.8091,723.2879
3697,0.041420188,0.99363977,0.10471054,-0.97240424,0.016007364,0.23275228,0.22959577,-0.111461625,0.9668826,0.110754475,-0.10401386,-0.63572127,-0.23490673,0.107876636,-1.5543362,1505.8091,977.1299,1505.8091,723.43097
3731,0.027947504,0.9940785,0.1050082,-0.970833,0.0019684383,0.23974869,0.23812228,-0.10864582,0.9651392,0.111578286,-0.10456936,-0.6589016,-0.24210697,0.1083748,-1.5687687,1505.6699,977.2004,1505.6699,723.4319
3764,0.0238936,0.99395233,0.10718144,-0.97085065,-0.0025064365,0.23967206,0.23849124,-0.1097838,0.9649193,0.11218797,-0.105427995,-0.68317604,-0.24202806,0.11062465,-1.573378,1505.616,977.0544,1505.616,723.41345
3798,0.03433205,0.99293464,0.113586985,-0.96951616,0.005499421,0.24496566,0.2426102,-0.1185346,0.9628549,0.110762805,-0.10517697,-0.7089421,-0.24748427,0.11742623,-1.565124,1505.8539,976.9162,1505.8539,723.421
3831,0.057196017,0.9921056,0.11160133,-0.96659845,0.027056132,0.25486296,0.2498315,-0.12245082,0.9605154,0.105067834,-0.103342034,-0.7351879,-0.257706,0.11567036,-1.5428126,1505.8135,976.8444,1505.8135,723.31934
3864,0.073188104,0.99120873,0.110221244,-0.9655888,0.04277028,0.25653255,0.24956307,-0.12520352,0.96023023,0.10272817,-0.10309882,-0.7614589,-0.25943297,0.11428608,-1.5265307,1505.7283,976.8537,1505.7283,723.1534
3898,0.07745421,0.99018043,0.11637626,-0.96749675,0.04646441,0.24857791,0.24072962,-0.1318471,0.9615953,0.101891354,-0.10387455,-0.78744686,-0.2512118,0.12043842,-1.5228078,1505.7642,976.78827,1505.7642,723.065
3931,0.080511145,0.9905845,0.11072502,-0.970429,0.052538294,0.23559932,0.22756375,-0.12641916,0.96552193,0.09897591,-0.10472482,-0.81284636,-0.2378352,0.11418014,-1.5167099,1505.625,976.74774,1505.625,722.9806
3965,0.08175886,0.99169534,0.09927605,-0.9741558,0.058471654,0.21817756,0.21056081,-0.114548296,0.9708464,0.0984257,-0.10707668,-0.8387243,-0.21994665,0.101903014,-1.5108453,1505.6339,976.60974,1505.6339,722.9013
3998,0.07718856,0.99262273,0.09349798,-0.97829205,0.05731601,0.19914648,0.19231841,-0.106840186,0.97549915,0.09876117,-0.11018398,-0.86653423,-0.20048688,0.095554404,-1.5122753,1505.661,976.59735,1505.661,722.7945
4031,0.06985567,0.9932847,0.09222616,-0.9813751,0.051843412,0.18497303,0.17894955,-0.10342988,0.97840637,0.09666011,-0.11087607,-0.8966995,-0.18604442,0.09398391,-1.5180181,1505.7776,976.58685,1505.7776,722.8118
4064,0.07555519,0.9933259,0.0871497,-0.98145264,0.05863899,0.18251605,0.17618753,-0.099323355,0.97933275,0.09537299,-0.11275762,-0.9289655,-0.18354489,0.08875506,-1.5111201,1505.8673,976.4692,1505.8673,722.8741
4097,0.085702464,0.9935536,0.07420313,-0.98074996,0.071013175,0.18189667,0.17545468,-0.08836372,0.9805137,0.09353029,-0.11348161,-0.9623539,-0.18291496,0.07553384,-1.4985155,1505.7148,976.4782,1505.7148,722.8955
4130,0.08991854,0.9938011,0.065375865,-0.98210216,0.077569306,0.1716343,0.16549918,-0.079638876,0.9829891,0.087954156,-0.11034829,-0.9970989,-0.17248835,0.06640942,-1.491977,1505.6025,976.47534,1505.6025,722.8876
